162.2073726098	60.467959453	29.58889	29.58889	161.1452759667	157.3144570024	134.6223468473
153.1619441713	69.7728595064	20.24401	20.24401	108.746632345	167.879394279	100.7335202123
166.0437507256	65.4259605254	28.08007	28.08007	159.2029022348	154.7467824088	159.5250987587
152.1413482543	66.0547132728	28.13049	28.13049	173.4863657122	176.7809404831	113.1003416168
174.4064419447	64.4059317954	33.26807	33.26807	113.7845431928	143.8892840525	178.3930171049
158.896660008	60.2941041239	19.67486	19.67486	133.2078172394	175.4382199819	104.9550951094
158.9925250006	64.9536127993	25.59147	25.59147	161.9575462208	142.5203904381	175.2971712024
176.0783311758	57.6537999077	75.72311	75.72311	104.5270637193	100.7979030151	171.094201688
152.8388399427	68.1844270509	41.60811	41.60811	176.7768090636	183.3564664799	188.5617878819
189.6160453401	57.9714010563	28.00931	28.00931	109.0993159123	185.6013929428	189.4269844587
167.955012197	59.6598706708	17.39837	17.39837	168.9284757736	128.8201291709	165.9137458707
167.7246374445	69.2276466593	31.0732	31.0732	101.8576669938	134.619593083	120.3103373702
